TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
9594000000.0	246669411.1	231607706.2	262710595.3
9595000000.0	246670512.8	231608620.8	262711904.5
9596000000.0	246671614.2	231609535.3	262713213.4
9597000000.0	246672715.4	231610449.5	262714522.0
9598000000.0	246673816.4	231611363.6	262715830.4
9599000000.0	246674917.2	231612277.5	262717138.5
9600000000.0	246676017.8	231613191.3	262718446.3
9601000000.0	246677118.2	231614104.8	262719753.9
9602000000.0	246678218.3	231615018.1	262721061.3
9603000000.0	246679318.2	231615931.3	262722368.4
9604000000.0	246680417.9	231616844.3	262723675.2
9605000000.0	246681517.4	231617757.1	262724981.8
9606000000.0	246682616.6	231618669.7	262726288.1
9607000000.0	246683715.7	231619582.1	262727594.1
9608000000.0	246684814.5	231620494.4	262728899.9
9609000000.0	246685913.1	231621406.5	262730205.5
9610000000.0	246687011.5	231622318.4	262731510.8
9611000000.0	246688109.6	231623230.1	262732815.8
9612000000.0	246689207.6	231624141.6	262734120.6
9613000000.0	246690305.3	231625052.9	262735425.1
9614000000.0	246691402.8	231625964.1	262736729.3
9615000000.0	246692500.1	231626875.0	262738033.3
9616000000.0	246693597.2	231627785.8	262739337.1
9617000000.0	246694694.0	231628696.4	262740640.5
9618000000.0	246695790.7	231629606.9	262741943.8
