TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
3463000000.0	61334592.5	50549744.9	74420400.0
3464000000.0	61335909.0	50549100.3	74424543.9
3465000000.0	61337224.9	50548455.5	74428686.6
3466000000.0	61338540.0	50547810.6	74432828.0
3467000000.0	61339854.5	50547165.6	74436968.1
3468000000.0	61341168.4	50546520.4	74441107.0
3469000000.0	61342481.5	50545875.1	74445244.7
3470000000.0	61343794.0	50545229.6	74449381.1
3471000000.0	61345105.8	50544583.9	74453516.2
3472000000.0	61346416.9	50543938.2	74457650.1
3473000000.0	61347727.3	50543292.2	74461782.8
3474000000.0	61349037.1	50542646.1	74465914.2
3475000000.0	61350346.2	50541999.9	74470044.3
3476000000.0	61351654.6	50541353.5	74474173.2
3477000000.0	61352962.3	50540707.0	74478300.9
3478000000.0	61354269.4	50540060.3	74482427.3
3479000000.0	61355575.7	50539413.5	74486552.4
3480000000.0	61356881.5	50538766.6	74490676.3
3481000000.0	61358186.5	50538119.4	74494799.0
3482000000.0	61359490.9	50537472.2	74498920.4
3483000000.0	61360794.6	50536824.8	74503040.6
3484000000.0	61362097.6	50536177.2	74507159.5
3485000000.0	61363399.9	50535529.6	74511277.2
3486000000.0	61364701.6	50534881.7	74515393.7
3487000000.0	61366002.6	50534233.7	74519508.9
3488000000.0	61367303.0	50533585.6	74523622.9
3489000000.0	61368602.7	50532937.4	74527735.6
3490000000.0	61369901.7	50532288.9	74531847.1
3491000000.0	61371200.0	50531640.4	74535957.3
3492000000.0	61372497.7	50530991.7	74540066.4
3493000000.0	61373794.7	50530342.9	74544174.2
3494000000.0	61375091.1	50529693.9	74548280.7
3495000000.0	61376386.7	50529044.8	74552386.0
3496000000.0	61377681.8	50528395.5	74556490.1
3497000000.0	61378976.1	50527746.1	74560592.9
3498000000.0	61380269.8	50527096.6	74564694.5
3499000000.0	61381562.8	50526446.9	74568794.9
3500000000.0	61382855.2	50525797.1	74572894.1
3501000000.0	61384146.9	50525147.1	74576992.0
3502000000.0	61385437.9	50524497.0	74581088.7
3503000000.0	61386728.3	50523846.7	74585184.1
3504000000.0	61388018.0	50523196.4	74589278.4
3505000000.0	61389307.1	50522545.8	74593371.4
3506000000.0	61390595.5	50521895.2	74597463.1
3507000000.0	61391883.2	50521244.4	74601553.7
3508000000.0	61393170.3	50520593.4	74605643.0
3509000000.0	61394456.7	50519942.4	74609731.1
3510000000.0	61395742.5	50519291.2	74613818.0
3511000000.0	61397027.6	50518639.8	74617903.6
3512000000.0	61398312.0	50517988.3	74621988.0
3513000000.0	61399595.8	50517336.7	74626071.2
3514000000.0	61400879.0	50516685.0	74630153.2
3515000000.0	61402161.5	50516033.1	74634234.0
3516000000.0	61403443.3	50515381.0	74638313.5
3517000000.0	61404724.5	50514728.9	74642391.8
3518000000.0	61406005.0	50514076.6	74646468.9
3519000000.0	61407284.8	50513424.1	74650544.8
3520000000.0	61408564.1	50512771.6	74654619.5
3521000000.0	61409842.6	50512118.9	74658692.9
3522000000.0	61411120.5	50511466.0	74662765.1
3523000000.0	61412397.8	50510813.1	74666836.2
3524000000.0	61413674.4	50510160.0	74670906.0
3525000000.0	61414950.4	50509506.7	74674974.5
3526000000.0	61416225.7	50508853.4	74679041.9
3527000000.0	61417500.3	50508199.9	74683108.1
3528000000.0	61418774.4	50507546.2	74687173.0
3529000000.0	61420047.7	50506892.5	74691236.8
3530000000.0	61421320.4	50506238.6	74695299.3
3531000000.0	61422592.5	50505584.5	74699360.6
3532000000.0	61423863.9	50504930.4	74703420.7
3533000000.0	61425134.7	50504276.1	74707479.6
3534000000.0	61426404.8	50503621.7	74711537.3
3535000000.0	61427674.3	50502967.1	74715593.8
3536000000.0	61428943.2	50502312.4	74719649.0
3537000000.0	61430211.4	50501657.6	74723703.1
3538000000.0	61431478.9	50501002.7	74727756.0
3539000000.0	61432745.8	50500347.6	74731807.6
3540000000.0	61434012.1	50499692.4	74735858.1
3541000000.0	61435277.7	50499037.1	74739907.3
3542000000.0	61436542.7	50498381.6	74743955.4
3543000000.0	61437807.1	50497726.0	74748002.2
3544000000.0	61439070.8	50497070.3	74752047.9
3545000000.0	61440333.8	50496414.5	74756092.3
3546000000.0	61441596.2	50495758.5	74760135.5
3547000000.0	61442858.0	50495102.4	74764177.6
3548000000.0	61444119.2	50494446.2	74768218.4
3549000000.0	61445379.7	50493789.8	74772258.1
3550000000.0	61446639.6	50493133.4	74776296.5
3551000000.0	61447898.8	50492476.8	74780333.8
3552000000.0	61449157.4	50491820.0	74784369.8
3553000000.0	61450415.3	50491163.2	74788404.7
3554000000.0	61451672.7	50490506.2	74792438.4
