TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
222000000.0	43576.6	38145.2	49781.4
223000000.0	43580.6	38143.6	49792.6
224000000.0	43584.5	38141.9	49803.6
225000000.0	43588.3	38140.3	49814.6
226000000.0	43592.1	38138.6	49825.5
227000000.0	43595.9	38137.0	49836.3
228000000.0	43599.7	38135.4	49847.0
229000000.0	43603.4	38133.7	49857.6
230000000.0	43607.1	38132.1	49868.2
231000000.0	43610.8	38130.5	49878.7
232000000.0	43614.4	38128.9	49889.1
233000000.0	43618.0	38127.3	49899.5
234000000.0	43621.6	38125.7	49909.8
235000000.0	43625.1	38124.1	49920.0
236000000.0	43628.7	38122.5	49930.1
237000000.0	43632.1	38120.9	49940.2
238000000.0	43635.6	38119.3	49950.2
239000000.0	43639.0	38117.7	49960.1
240000000.0	43642.4	38116.1	49970.0
241000000.0	43645.8	38114.6	49979.8
242000000.0	43649.2	38113.0	49989.5
243000000.0	43652.5	38111.5	49999.2
244000000.0	43655.8	38109.9	50008.8
245000000.0	43659.1	38108.4	50018.3
246000000.0	43662.5	38107.0	50027.9
247000000.0	43666.0	38105.7	50037.6
248000000.0	43669.4	38104.4	50047.1
249000000.0	43672.8	38103.1	50056.6
250000000.0	43676.2	38101.8	50066.1
251000000.0	43679.5	38100.5	50075.5
252000000.0	43682.8	38099.2	50084.8
253000000.0	43686.1	38097.9	50094.0
254000000.0	43689.4	38096.6	50103.2
255000000.0	43692.6	38095.3	50112.4
256000000.0	43695.9	38094.1	50121.4
257000000.0	43699.1	38092.8	50130.5
258000000.0	43702.2	38091.5	50139.4
259000000.0	43705.4	38090.2	50148.3
260000000.0	43708.5	38089.0	50157.2
261000000.0	43711.6	38087.7	50166.0
262000000.0	43714.7	38086.4	50174.7
263000000.0	43717.8	38085.2	50183.4
264000000.0	43720.8	38083.9	50192.0
265000000.0	43723.8	38082.7	50200.6
266000000.0	43726.8	38081.5	50209.1
267000000.0	43729.8	38080.2	50217.5
268000000.0	43732.7	38079.0	50225.9
269000000.0	43735.7	38077.7	50234.3
270000000.0	43738.6	38076.5	50242.6
271000000.0	43741.5	38075.3	50250.9
272000000.0	43744.3	38074.1	50259.1
273000000.0	43747.2	38072.8	50267.2
274000000.0	43750.0	38071.6	50275.3
275000000.0	43752.8	38070.4	50283.4
276000000.0	43755.6	38069.2	50291.4
277000000.0	43758.4	38068.0	50299.4
278000000.0	43761.1	38066.8	50307.3
279000000.0	43763.9	38065.6	50315.1
280000000.0	43766.6	38064.4	50322.9
281000000.0	43769.3	38063.2	50330.7
282000000.0	43771.9	38062.0	50338.4
283000000.0	43774.6	38060.8	50346.1
284000000.0	43777.2	38059.7	50353.8
285000000.0	43779.9	38058.5	50361.3
286000000.0	43782.5	38057.3	50368.9
287000000.0	43785.1	38056.1	50376.4
288000000.0	43787.6	38055.0	50383.8
289000000.0	43790.2	38053.8	50391.3
290000000.0	43792.7	38052.7	50398.6
291000000.0	43795.2	38051.5	50406.0
292000000.0	43797.7	38050.3	50413.2
293000000.0	43800.2	38049.2	50420.5
